"Feature"	"Measured Variable"	"Test Variable"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"	"Subset"	"Model Name"	"Reference Variable"
"g__Dorea"	"visit_age_mo"	"visit_age_mo"	0.0208492220094579	0.00209304281888135	954	383	3.19813116597495e-22	7.26432650557168e-21	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Roseburia"	"visit_age_mo"	"visit_age_mo"	0.0216269816448805	0.0021803389434976	954	327	4.64093304461913e-22	9.83877805459256e-21	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Enterobacteriaceae_unknwn"	"visit_age_mo"	"visit_age_mo"	-0.0727297148219882	0.00756711874245453	954	905	7.4644173238151e-21	1.48355294310825e-19	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Erysipelotrichaceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.025455507061161	0.00299977640662991	954	685	9.50041409686339e-17	1.7771362840015e-15	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"o__Clostridiales_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.00706952646837279	0.000840960374700253	954	190	1.63585270249542e-16	2.89000644107525e-15	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"o__Clostridiales_unknwn"	"lastDiet"	"Formula"	0.09944996841404	0.0113390386322809	954	764	4.11484093490028e-16	6.88694430156994e-15	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Streptococcus"	"visit_age_mo"	"visit_age_mo"	-0.0342743952956084	0.00450679189100299	954	950	7.28400572808436e-14	1.15815691076541e-12	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Lachnospiraceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.0234327546895931	0.00310997842166501	954	580	1.25138409900908e-13	1.89495306421375e-12	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Megasphaera"	"visit_age_mo"	"visit_age_mo"	0.00857592925522043	0.0011768815838621	954	219	6.96773078251792e-13	1.00715381310941e-11	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Oscillospira"	"lastDiet"	"Formula"	0.0346123036539751	0.00467758905157188	954	441	1.59788519304116e-12	2.20924996255257e-11	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"f__Enterococcaceae_unknwn"	"visit_age_mo"	"visit_age_mo"	-0.0166706494171455	0.00237013541222775	954	685	4.09797963183816e-12	5.42982301218557e-11	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Rothia"	"visit_age_mo"	"visit_age_mo"	-0.00357657967624781	0.00054711844458792	954	509	1.06117598339663e-10	1.34981585088052e-09	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Akkermansia"	"visit_age_mo"	"visit_age_mo"	0.0208269193540195	0.00318962656782123	954	371	1.11051297506247e-10	1.3582427925764e-09	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Prevotella"	"visit_age_mo"	"visit_age_mo"	0.00893078958316769	0.00151713249566367	954	346	5.5671160813459e-09	6.5568256069185e-08	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__.Eubacterium."	"lastDiet"	"Formula"	0.0293244141267558	0.0051578149117202	954	502	3.26492140387989e-08	3.70801788012074e-07	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Bifidobacterium"	"visit_age_mo"	"visit_age_mo"	0.0495293017133076	0.00926858448067169	954	947	1.17015365751976e-07	1.2831340106596e-06	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__SMB53"	"lastDiet"	"Formula"	0.0138253577486185	0.00255089553414026	954	135	1.31683559888832e-07	1.39584573482162e-06	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Bacteroides"	"visit_age_mo"	"visit_age_mo"	0.0437046265243738	0.00841324641828341	954	946	2.58550593905291e-07	2.65222867296395e-06	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Rikenellaceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.01093741144089	0.0021570427178885	954	272	4.83771273348184e-07	4.80747702889757e-06	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Bacteroides"	"mode_of_delivery"	"Vaginal"	0.229233090675532	0.0437125156665785	954	946	5.25028016365267e-07	5.05936088497439e-06	"All Samples"	"case lastDiet pro"	"C-section"
"g__Blautia"	"lastDiet"	"Formula"	0.0562270620953663	0.0110563810758159	954	667	6.68187823288136e-07	6.24952140604786e-06	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"f__Enterobacteriaceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	-0.0396832296135318	0.00807033770998281	954	927	1.05382797352107e-06	9.57477987370569e-06	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Peptostreptococcaceae_unclsfd"	"lastDiet"	"Formula"	0.0190528465114767	0.00382895207160869	954	123	1.24858242449032e-06	1.10291447496645e-05	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Corynebacterium"	"visit_age_mo"	"visit_age_mo"	-0.00356124726391592	0.000731834820165416	954	339	1.3409732192692e-06	1.15251211818272e-05	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Campylobacter"	"visit_age_mo"	"visit_age_mo"	0.00295273480222132	0.000628828000602765	954	168	3.06863133313481e-06	2.56795990509703e-05	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Dorea"	"lastDiet"	"Formula"	0.0334831853636935	0.00703694770862665	954	383	3.15172346943511e-06	2.56986682892401e-05	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__SMB53"	"visit_age_mo"	"visit_age_mo"	0.0038613455837584	0.000832982980455987	954	135	4.08328562192604e-06	3.2462120694312e-05	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Ruminococcus"	"lastDiet"	"Formula"	0.0169618288470948	0.00362023539620419	954	373	4.38335962153372e-06	3.39977648694567e-05	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Veillonella"	"visit_age_mo"	"visit_age_mo"	0.0220341133278601	0.00477486823188309	954	913	4.52461833334461e-06	3.42578245238949e-05	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Veillonella"	"mode_of_delivery"	"Vaginal"	-0.0651126172740146	0.0142589477464021	954	913	1.08819988070276e-05	8.04761772240642e-05	"All Samples"	"case lastDiet pro"	"C-section"
"f__Lachnospiraceae_unclsfd"	"lastDiet"	"Formula"	0.0533575672661251	0.0121156379834091	954	580	1.39358927132331e-05	0.000100718497336548	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Collinsella"	"visit_age_mo"	"visit_age_mo"	0.00506286134449487	0.00117226854428499	954	183	1.75600848394153e-05	0.000124091266198535	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"o__Clostridiales_unknwn"	"lastDiet"	"Partially BF"	0.0494442070013964	0.0114904243650985	954	764	1.97657708478132e-05	0.000136641633252274	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Lactobacillus"	"probiotics_firstyr"	"Pro +"	0.0484548501557577	0.0113859212771251	954	613	3.54876443851032e-05	0.000240107891797081	"All Samples"	"case lastDiet pro"	"Pro -"
"g__Clostridium"	"visit_age_mo"	"visit_age_mo"	-0.0263289600421268	0.00635696437186563	954	832	3.78177489663437e-05	0.000250542586902027	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Ruminococcaceae_unclsfd"	"lastDiet"	"Formula"	0.0195434489399391	0.00487119410342945	954	292	7.64930086353811e-05	0.000496424015225534	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Fusobacterium"	"visit_age_mo"	"visit_age_mo"	0.00220857462119395	0.00056048212724033	954	164	8.76388503273096e-05	0.000557383088081689	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Akkermansia"	"lastDiet"	"Formula"	0.041937215897571	0.0106751022936773	954	371	0.000107231857738463	0.000668622171781006	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__.Ruminococcus."	"lastDiet"	"Formula"	0.0578646191949738	0.0151110958144849	954	771	0.000152965391100546	0.000935442199422569	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Coprococcus"	"lastDiet"	"Formula"	0.0204595742841788	0.00554381403585747	954	395	0.000280448996539851	0.00168269397923911	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Bifidobacterium"	"lastDiet"	"Formula"	-0.133658278829606	0.037319504470075	954	947	0.000382166420551609	0.00225053558769281	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Coprobacillus"	"lastDiet"	"Formula"	0.0113271838733951	0.00322032449584681	954	134	0.000502031822046151	0.00290265671655775	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Haemophilus"	"lastDiet"	"Formula"	-0.0540343554613373	0.0159498710981482	954	787	0.000819565948423167	0.00465396377854584	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"f__Enterococcaceae_unknwn"	"lastDiet"	"Partially BF"	-0.0263501705608409	0.00793864187047701	954	685	0.000946126239783062	0.00518738179743127	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"f__Enterobacteriaceae_unknwn"	"mode_of_delivery"	"Vaginal"	-0.0885651916812943	0.0262966974386007	954	905	0.000944051382955947	0.00518738179743127	"All Samples"	"case lastDiet pro"	"C-section"
"g__Staphylococcus"	"lastDiet"	"Formula"	-0.0247607533195039	0.00766671715083073	954	623	0.0014503941759061	0.00774816186832036	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Oscillospira"	"lastDiet"	"Partially BF"	0.0145861273107699	0.00456686682844458	954	441	0.00146864866346501	0.00774816186832036	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Anaerococcus"	"lastDiet"	"Partially BF"	0.0157211060933554	0.00492487771125519	954	224	0.00148628262253944	0.00774816186832036	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"o__Clostridiales_unclsfd"	"lastDiet"	"Formula"	0.00781156798976127	0.00251175987721927	954	190	0.00212494296072517	0.0108409744374438	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"f__Lachnospiraceae_unknwn"	"lastDiet"	"Formula"	0.011394163267807	0.00367161962935642	954	178	0.00214774021873886	0.0108409744374438	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Actinomyces"	"visit_age_mo"	"visit_age_mo"	-0.00697129800799699	0.00229004355943827	954	550	0.00240411040160818	0.0119454235579907	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Clostridiaceae_unclsfd"	"mode_of_delivery"	"Vaginal"	-0.0473611201381702	0.0154786983360912	954	727	0.00268306669457824	0.0131263878288597	"All Samples"	"case lastDiet pro"	"C-section"
"g__Anaerococcus"	"visit_age_mo"	"visit_age_mo"	-0.00467759139017554	0.00156206595304526	954	224	0.00282534676864893	0.013613034430763	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Haemophilus"	"lastDiet"	"Partially BF"	-0.0456166925811299	0.0153938233097591	954	787	0.00315322598853109	0.0149660576769087	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Clostridium"	"mode_of_delivery"	"Vaginal"	-0.0592466049671469	0.019871675603473	954	832	0.00338714438294053	0.0158398810849278	"All Samples"	"case lastDiet pro"	"C-section"
"g__Akkermansia"	"probiotics_firstyr"	"Pro +"	0.0343767862005263	0.0117116669912846	954	371	0.00382755059703916	0.01764001579505	"All Samples"	"case lastDiet pro"	"Pro -"
"g__Bilophila"	"visit_age_mo"	"visit_age_mo"	0.00126068506311012	0.000439542607750095	954	96	0.00423174167210657	0.0192241978818556	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Varibaculum"	"lastDiet"	"Partially BF"	0.00475619519370946	0.00165674206471631	954	121	0.00429679672771929	0.0192448078790808	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"o__Clostridiales_unknwn"	"case_id"	"AP Case"	-0.0348626887002521	0.0121135448315788	954	764	0.00459425631199698	0.0201527969055154	"All Samples"	"case lastDiet pro"	"No AP"
"g__Megasphaera"	"lastDiet"	"Formula"	-0.0103491018240351	0.00361525498567797	954	219	0.00462627098774411	0.0201527969055154	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Enterococcus"	"lastDiet"	"Partially BF"	0.0100197755682734	0.00354588047462404	954	119	0.00485323239176948	0.0208557824403067	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Parabacteroides"	"mode_of_delivery"	"Vaginal"	0.0600987447918931	0.0218435004648788	954	676	0.00663751257025716	0.0281430532978904	"All Samples"	"case lastDiet pro"	"C-section"
"g__Coprococcus"	"lastDiet"	"Partially BF"	0.0153251654598295	0.00571960322090872	954	395	0.00759251229394127	0.0317686698614911	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Roseburia"	"lastDiet"	"Formula"	0.0184654298190105	0.00706267252411671	954	327	0.00950202965631144	0.0392421484507408	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Finegoldia"	"visit_age_mo"	"visit_age_mo"	-0.00289886448644289	0.00116198205185895	954	248	0.0127834996399719	0.0521173446860395	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Blautia"	"probiotics_firstyr"	"Pro +"	0.0310201157954178	0.0124251263334185	954	667	0.0137115559583651	0.0551933518324063	"All Samples"	"case lastDiet pro"	"Pro -"
"g__Staphylococcus"	"lastDiet"	"Partially BF"	-0.0194676518971864	0.00788821540270463	954	623	0.0139077844222144	0.0552834430783022	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Corynebacterium"	"lastDiet"	"Formula"	-0.00497467261968571	0.00203659569310929	954	339	0.0158094533021151	0.0613098310984464	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"f__Lachnospiraceae_unknwn"	"probiotics_firstyr"	"Pro +"	0.00959957793447882	0.00392513566163139	954	178	0.0156458734046637	0.0613098310984464	"All Samples"	"case lastDiet pro"	"Pro -"
"g__Collinsella"	"lastDiet"	"Formula"	0.0116253649399218	0.00494414766917242	954	183	0.0191232331846922	0.0707114901480478	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Ruminococcus"	"probiotics_firstyr"	"Pro +"	0.00925790137814925	0.00389416597296766	954	373	0.0185441166361594	0.0707114901480478	"All Samples"	"case lastDiet pro"	"Pro -"
"g__Peptoniphilus"	"visit_age_mo"	"visit_age_mo"	-0.00249996961472509	0.00106456207712062	954	180	0.0190747881527599	0.0707114901480478	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Bilophila"	"lastDiet"	"Formula"	0.00443967889667319	0.00188478021377069	954	96	0.0188788486519413	0.0707114901480478	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Enterococcus"	"visit_age_mo"	"visit_age_mo"	0.00252817395317605	0.00108152215935966	954	119	0.019633592824096	0.0717641668742821	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Enterococcaceae_unknwn"	"mode_of_delivery"	"Vaginal"	-0.0189471354060221	0.00804436310789358	954	685	0.0198689616273465	0.0717992022442747	"All Samples"	"case lastDiet pro"	"C-section"
"g__Coprobacillus"	"visit_age_mo"	"visit_age_mo"	0.00227570650875196	0.000984496020233424	954	134	0.0210292775410999	0.075138317506402	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Parabacteroides"	"probiotics_firstyr"	"Pro +"	-0.0615415855341451	0.0265136992996479	954	676	0.0215811215030394	0.0762532959774058	"All Samples"	"case lastDiet pro"	"Pro -"
"g__Bilophila"	"mode_of_delivery"	"Vaginal"	0.00459189476808133	0.00201017511227017	954	96	0.0236610614677439	0.0826837093048635	"All Samples"	"case lastDiet pro"	"C-section"
"g__.Eubacterium."	"lastDiet"	"Partially BF"	0.0113337692514904	0.00502738460766104	954	502	0.0244878148310623	0.0846426643073676	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Coprococcus"	"mode_of_delivery"	"Vaginal"	0.010861847474704	0.00484267355268712	954	395	0.0262969207408924	0.0899185031785352	"All Samples"	"case lastDiet pro"	"C-section"
"g__Blautia"	"case_id"	"AP Case"	-0.0272154720835203	0.0124728589985134	954	667	0.0307825790949679	0.104136810129785	"All Samples"	"case lastDiet pro"	"No AP"
"o__Clostridiales_unknwn"	"probiotics_firstyr"	"Pro +"	0.0260398531496955	0.0120551256488763	954	764	0.0323929256066871	0.108431056241332	"All Samples"	"case lastDiet pro"	"Pro -"
"g__Parabacteroides"	"visit_age_mo"	"visit_age_mo"	0.00664240024027028	0.00329740027738123	954	676	0.0442924416912866	0.146718713102387	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Lachnospira"	"probiotics_firstyr"	"Pro +"	0.013568688652532	0.00674348762133552	954	277	0.0457715723752246	0.148524081788994	"All Samples"	"case lastDiet pro"	"Pro -"
"f__Enterobacteriaceae_unclsfd"	"probiotics_firstyr"	"Pro +"	-0.0785970443832873	0.0389956252482099	954	927	0.0455996464901879	0.148524081788994	"All Samples"	"case lastDiet pro"	"Pro -"
"g__SMB53"	"mode_of_delivery"	"Vaginal"	-0.00445759373099013	0.00224993443787393	954	135	0.0490822436485716	0.156529494937894	"All Samples"	"case lastDiet pro"	"C-section"
"g__Sutterella"	"lastDiet"	"Formula"	-0.00786513202721638	0.00398297486775929	954	145	0.0492231116156898	0.156529494937894	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Clostridium"	"lastDiet"	"Partially BF"	0.0402831415918653	0.020761157432589	954	832	0.0527525881974979	0.166092307394102	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Veillonella"	"lastDiet"	"Formula"	-0.0301192729612606	0.0157740128330111	954	913	0.0573827765117111	0.178899244418864	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Lactobacillus"	"lastDiet"	"Partially BF"	-0.0204907603769773	0.010986985225663	954	613	0.0626802260668174	0.193517591157747	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Corynebacterium"	"mode_of_delivery"	"Vaginal"	-0.00329484093593824	0.00175803569798344	954	339	0.0636758088250817	0.194701030830538	"All Samples"	"case lastDiet pro"	"C-section"
"g__Phascolarctobacterium"	"lastDiet"	"Partially BF"	0.00286787389039061	0.00155660145980878	954	128	0.065738882835376	0.199094902301425	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Peptoniphilus"	"mode_of_delivery"	"Vaginal"	-0.0055278664872249	0.00301437947307985	954	180	0.0687506277014801	0.20625188310444	"All Samples"	"case lastDiet pro"	"C-section"
"g__Anaerococcus"	"lastDiet"	"Formula"	0.00900942626203373	0.00494950024381308	954	224	0.0700428322956069	0.206605091592771	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"f__Erysipelotrichaceae_unclsfd"	"probiotics_firstyr"	"Pro +"	-0.0272438597882326	0.0149394769805375	954	685	0.0701677669560354	0.206605091592771	"All Samples"	"case lastDiet pro"	"Pro -"
"f__Enterococcaceae_unknwn"	"case_id"	"AP Case"	-0.0171502432764458	0.00976177595796937	954	685	0.0811082942740615	0.236627867698638	"All Samples"	"case lastDiet pro"	"No AP"
"g__Rothia"	"lastDiet"	"Partially BF"	-0.0030653085244718	0.00176192989334222	954	509	0.0823734696945227	0.23813421238962	"All Samples"	"case lastDiet pro"	"Exclusively BF"
"g__Lactobacillus"	"case_id"	"AP Case"	0.0198232131234804	0.0114424666127148	954	613	0.0851153329095109	0.243843926713734	"All Samples"	"case lastDiet pro"	"No AP"
"g__Faecalibacterium"	"visit_age_mo"	"visit_age_mo"	0.0467550853514552	0.00345150188761276	954	402	3.29527573298107e-38	1.39719691078397e-35	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Coprococcus"	"visit_age_mo"	"visit_age_mo"	0.0283400268944431	0.00232149407087973	954	395	7.28768149460922e-32	1.54498847685715e-29	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Lachnospira"	"visit_age_mo"	"visit_age_mo"	0.0305159459583955	0.00266217279502377	954	277	1.60058736278128e-28	2.26216347273087e-26	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Staphylococcus"	"visit_age_mo"	"visit_age_mo"	-0.0336228993917183	0.00317411189521771	954	623	8.25507491408142e-25	8.75037940892631e-23	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Sutterella"	"visit_age_mo"	"visit_age_mo"	0.0144783100870341	0.00141512244117145	954	145	2.67587748323369e-23	2.26914410578217e-21	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"o__Clostridiales_unknwn"	"visit_age_mo"	"visit_age_mo"	0.0449450174016425	0.00456479798974177	954	764	8.39529895696283e-22	5.08515251107463e-20	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Oscillospira"	"visit_age_mo"	"visit_age_mo"	0.0173219445121903	0.00175764287664187	954	441	7.904453482333e-22	5.08515251107463e-20	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__.Ruminococcus."	"visit_age_mo"	"visit_age_mo"	0.0470635158226371	0.00496189285995849	954	771	2.26282949128107e-20	1.19929963037897e-18	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Blautia"	"visit_age_mo"	"visit_age_mo"	0.0364424184433109	0.00388612507988179	954	667	5.55183159260577e-20	2.50762600588872e-18	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Roseburia"	"visit_age_mo"	"visit_age_mo"	0.0252168498653761	0.00269243448531394	954	327	5.91421227803943e-20	2.50762600588872e-18	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Ruminococcus"	"visit_age_mo"	"visit_age_mo"	0.0123627425504143	0.00141356610903303	954	373	1.06105458466753e-17	4.08988312635486e-16	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"o__Clostridiales_unknwn"	"lastDiet"	"Formula"	0.0992029715855942	0.0114186422706422	954	764	6.36765249963721e-16	2.24990388320515e-14	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Lachnospiraceae_unknwn"	"visit_age_mo"	"visit_age_mo"	0.01173968447427	0.00146128673624299	954	178	2.92615147160296e-15	9.54375556892041e-14	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Enterobacteriaceae_unknwn"	"visit_age_mo"	"visit_age_mo"	-0.0747595730749844	0.00940971668291723	954	905	5.9242132129796e-15	1.79419028735954e-13	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"o__Clostridiales_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.00799253338386317	0.00103752061354882	954	190	3.44104356103451e-14	9.72668313252421e-13	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Ruminococcaceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.013522737782732	0.00179046189732405	954	292	1.04970107503076e-13	2.78170784883152e-12	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Oscillospira"	"lastDiet"	"Formula"	0.0347070748648413	0.00468649575826672	954	441	1.49094844681832e-12	3.71860083206452e-11	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__.Eubacterium."	"visit_age_mo"	"visit_age_mo"	0.0137073964356129	0.0019377374995856	954	502	3.02679035652138e-12	7.12977283980592e-11	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Erysipelotrichaceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.025289636542796	0.00373290853943389	954	685	2.31488998299634e-11	5.16585975152867e-10	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Dorea"	"visit_age_mo"	"visit_age_mo"	0.0162769374244664	0.00257520950037444	954	383	4.10996974590277e-10	8.71313586131387e-09	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__.Eubacterium."	"lastDiet"	"Formula"	0.0291823903199359	0.00517203335844273	954	502	4.06341469778628e-08	8.20422777076848e-07	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Megasphaera"	"visit_age_mo"	"visit_age_mo"	0.00790881002426571	0.00145757484985181	954	219	7.39603509386703e-08	1.42541767263619e-06	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__SMB53"	"lastDiet"	"Formula"	0.0138078920167543	0.00254893570298355	954	135	1.33753022792336e-07	2.46570789843263e-06	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Enterococcaceae_unknwn"	"visit_age_mo"	"visit_age_mo"	-0.0154601431940163	0.00294550366186558	954	685	1.92331595555546e-07	3.39785818814798e-06	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Blautia"	"lastDiet"	"Formula"	0.0568063870404882	0.0110477080616882	954	667	5.0979703198279e-07	8.64615766242812e-06	"All Samples"	"symptoms lastDiet pro (Control as reference)"	"Control"
